StudyName	ExportDate	Name	Age	Gender	StimuliBlock	StimulusName	SlideType	EventSource	UTCTimestamp	Timestamp	MediaTime	TimeSignal	GazeLeftx	GazeLefty	GazeRightx	GazeRighty	PupilLeft	PupilRight	DistanceLeft	DistanceRight	CameraLeftX	CameraLeftY	CameraRightX	CameraRightY	ValidityLeft	ValidityRight	GazeX	GazeY	GazeAOI	InterpolatedGazeX	InterpolatedGazeY	GazeEventType	GazeVelocityAngle	SaccadeSeq	SaccadeStart	SaccadeDuration	FixationSeq	FixationX	FixationY	FixationStart	FixationDuration	FixationAOI	PostMarker	Annotation	Engagement	ExcitementLongTerm	ExcitementShortTerm	Frustration	Meditation	EEG Timestamp	AF3_Quality	F7_Quality	F3_Quality	FC5_Quality	T7_Quality	P7_Quality	O1_Quality	O2_Quality	P8_Quality	T8_Quality	FC6_Quality	F4_Quality	F8_Quality	AF4_Quality	AF3_Value	F7_Value	F3_Value	FC5_Value	T7_Value	P7_Value	O1_Value	O2_Value	P8_Value	T8_Value	FC6_Value	F4_Value	F8_Value	AF4_Value	GyroX	GyroY	SeqNo	FrameNo	FrameTime	NoOfFaces	FaceRect X	FaceRect Y	FaceRect Width	FaceRect Height	Joy Evidence	Joy Intensity	Anger Evidence	Anger Intensity	Surprise Evidence	Surprise Intensity	Fear Evidence	Fear Intensity	Contempt Evidence	Contempt Intensity	Disgust Evidence	Disgust Intensity	Sadness Evidence	Sadness Intensity	Confusion Evidence	Confusion Intensity	Frustration Evidence	Frustration Intensity	Neutral Evidence	Neutral Intensity	Positive Evidence	Positive Intensity	Negative Evidence	Negative Intensity	AU1 Evidence	AU2 Evidence	AU4 Evidence	AU5 Evidence	AU6 Evidence	AU7 Evidence	AU9 Evidence	AU10 Evidence	AU12 Evidence	AU14 Evidence	AU15 Evidence	AU17 Evidence	AU18 Evidence	AU20 Evidence	AU23 Evidence	AU24 Evidence	AU25 Evidence	AU26 Evidence	AU28 Evidence	AU43 Evidence	Yaw Degrees	Pitch Degrees	Roll Degrees	LEFT_EYE_LATERAL X	LEFT_EYE_LATERAL Y	LEFT_EYE_PUPIL X	LEFT_EYE_PUPIL Y	LEFT_EYE_MEDIAL X	LEFT_EYE_MEDIAL Y	RIGHT_EYE_MEDIAL X	RIGHT_EYE_MEDIAL Y	RIGHT_EYE_PUPIL X	RIGHT_EYE_PUPIL Y	RIGHT_EYE_LATERAL X	RIGHT_EYE_LATERAL Y	NOSE_TIP X	NOSE_TIP Y	7 X	7 Y	Timestamp RAW (no units) (Shimmer Sensor)	Timestamp CAL (mSecs) (Shimmer Sensor)	System Timestamp CAL (mSecs) (Shimmer Sensor)	VSenseBatt RAW (no units) (Shimmer Sensor)	VSenseBatt CAL (mVolts) (Shimmer Sensor)	GSR RAW (no units) (Shimmer Sensor)	GSR CAL (kOhms) (Shimmer Sensor)	GSR CAL (µSiemens) (Shimmer Sensor)	Packet reception rate RAW (no units) (Shimmer Sensor)	GSR Quality (Shimmer Sensor)	LiveMarker	KeyStroke	MarkerText	SceneType	SceneOutput	SceneParent
Basketball Shoe  _V2	20171120	t111	15	MALE	Study w Survey	3 Calling all Creators	BlackInterslide	Shimmer Sensor Shimmer Sensor	20171005_012228807	20171004_182228807																																																																																																																																														15325664	935062.5	1507166548739.06	2759	4018.2358974359	18531	123.848211631824	8.0744	100	VALID						
Basketball Shoe  _V2	20171120	t111	15	MALE	Study w Survey	3 Calling all Creators	BlackInterslide	ET|Shimmer Sensor Shimmer Sensor	20171005_012228818	20171004_182228818		688767	1263	808	1268	815	3.699493	3.73465	626.0539	626.5873	0.5364082	0.4738658	0.3869289	0.4816885	0	0																																																																																																																														15325920	935070.3125	1507166548746.88	2760	4019.69230769231	18530	123.931094311563	8.069	100	VALID						
Basketball Shoe  _V2	20171120	t111	15	MALE	Study w Survey	3 Calling all Creators	BlackInterslide	Emotient FACET	20171005_012228824	20171004_182228824		688767	1263	808	1268	815	3.699493	3.73465	626.0539	626.5873	0.5364082	0.4738658	0.3869289	0.4816885	0	0																																																								-1	0	1	118	99	232	232	-2.15769934654236	0	-1.58188962936401	0	-1.18803989887238	0	-0.870205760002136	0	-0.563862234354019	0	-1.99306789040565	0	0.272847339510918	0	-0.27405834197998	0	-0.885799363255501	0	1.63392758369446	0	-2.15769934654236	0	0.272847339510918	0	0.5019012	-0.05338988	-0.5245064	-2.242811	-2.111081	-1.65132	-3.588577	-1.679862	-2.213966	-1.018861	-1.600014	-1.262818	-0.8503287	-1.391613	-1.589741	-0.9230968	-2.521241	-2.286155	-3.969749	0.165927	-7.869376	7.279075	2.962942	168.3015	170.4999	0	0	212.4971	168.0074	268.9091	162.2388	0	0	311.278	163.5952	239.0526	219.4148	0	0	15325920	935070.3125	1507166548746.88	2760	4019.69230769231	18530	123.931094311563	8.069	100	VALID						
Basketball Shoe  _V2	20171120	t111	15	MALE	Study w Survey	3 Calling all Creators	BlackInterslide	EmotivEEG	20171005_012228830	20171004_182228830		688767	1263	808	1268	815	3.699493	3.73465	626.0539	626.5873	0.5364082	0.4738658	0.3869289	0.4816885	0	0																								98616171	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4160.513	4278.462	4190.256	4258.462	4142.564	4184.103	4212.308	4161.026	4174.359	4128.718	4218.462	4156.923	4153.846	4165.128	2056	2044	94	-1	0	1	118	99	232	232	-2.15769934654236	0	-1.58188962936401	0	-1.18803989887238	0	-0.870205760002136	0	-0.563862234354019	0	-1.99306789040565	0	0.272847339510918	0	-0.27405834197998	0	-0.885799363255501	0	1.63392758369446	0	-2.15769934654236	0	0.272847339510918	0	0.5019012	-0.05338988	-0.5245064	-2.242811	-2.111081	-1.65132	-3.588577	-1.679862	-2.213966	-1.018861	-1.600014	-1.262818	-0.8503287	-1.391613	-1.589741	-0.9230968	-2.521241	-2.286155	-3.969749	0.165927	-7.869376	7.279075	2.962942	168.3015	170.4999	0	0	212.4971	168.0074	268.9091	162.2388	0	0	311.278	163.5952	239.0526	219.4148	0	0	15325920	935070.3125	1507166548746.88	2760	4019.69230769231	18530	123.931094311563	8.069	100	VALID						
Basketball Shoe  _V2	20171120	t111	15	MALE	Study w Survey	3 Calling all Creators	BlackInterslide	EmotivEEG	20171005_012228830	20171004_182228830		688767	1263	808	1268	815	3.699493	3.73465	626.0539	626.5873	0.5364082	0.4738658	0.3869289	0.4816885	0	0																								98616179	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4155.385	4300.513	4190.256	4244.103	4130.256	4165.128	4205.128	4153.846	4169.231	4128.718	4188.718	4148.718	4152.821	4153.846	2055	2049	95	-1	0	1	118	99	232	232	-2.15769934654236	0	-1.58188962936401	0	-1.18803989887238	0	-0.870205760002136	0	-0.563862234354019	0	-1.99306789040565	0	0.272847339510918	0	-0.27405834197998	0	-0.885799363255501	0	1.63392758369446	0	-2.15769934654236	0	0.272847339510918	0	0.5019012	-0.05338988	-0.5245064	-2.242811	-2.111081	-1.65132	-3.588577	-1.679862	-2.213966	-1.018861	-1.600014	-1.262818	-0.8503287	-1.391613	-1.589741	-0.9230968	-2.521241	-2.286155	-3.969749	0.165927	-7.869376	7.279075	2.962942	168.3015	170.4999	0	0	212.4971	168.0074	268.9091	162.2388	0	0	311.278	163.5952	239.0526	219.4148	0	0	15325920	935070.3125	1507166548746.88	2760	4019.69230769231	18530	123.931094311563	8.069	100	VALID						
Basketball Shoe  _V2	20171120	t111	15	MALE	Study w Survey	3 Calling all Creators	BlackInterslide	EmotivEEG	20171005_012228830	20171004_182228830		688767	1263	808	1268	815	3.699493	3.73465	626.0539	626.5873	0.5364082	0.4738658	0.3869289	0.4816885	0	0																								98616187	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4146.667	4309.744	4178.974	4200	4130.769	4169.744	4205.641	4153.846	4171.795	4133.846	4127.692	4146.154	4224.615	4163.077	2056	2048	96	-1	0	1	118	99	232	232	-2.15769934654236	0	-1.58188962936401	0	-1.18803989887238	0	-0.870205760002136	0	-0.563862234354019	0	-1.99306789040565	0	0.272847339510918	0	-0.27405834197998	0	-0.885799363255501	0	1.63392758369446	0	-2.15769934654236	0	0.272847339510918	0	0.5019012	-0.05338988	-0.5245064	-2.242811	-2.111081	-1.65132	-3.588577	-1.679862	-2.213966	-1.018861	-1.600014	-1.262818	-0.8503287	-1.391613	-1.589741	-0.9230968	-2.521241	-2.286155	-3.969749	0.165927	-7.869376	7.279075	2.962942	168.3015	170.4999	0	0	212.4971	168.0074	268.9091	162.2388	0	0	311.278	163.5952	239.0526	219.4148	0	0	15325920	935070.3125	1507166548746.88	2760	4019.69230769231	18530	123.931094311563	8.069	100	VALID						
Basketball Shoe  _V2	20171120	t111	15	MALE	Study w Survey	3 Calling all Creators	BlackInterslide	EmotivEEG	20171005_012228830	20171004_182228830		688767	1263	808	1268	815	3.699493	3.73465	626.0539	626.5873	0.5364082	0.4738658	0.3869289	0.4816885	0	0																								98616195	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4171.282	4281.026	4194.872	4244.615	4149.744	4188.718	4213.333	4167.179	4181.538	4145.641	4167.179	4163.59	4235.385	4188.718	2056	2051	97	-1	0	1	118	99	232	232	-2.15769934654236	0	-1.58188962936401	0	-1.18803989887238	0	-0.870205760002136	0	-0.563862234354019	0	-1.99306789040565	0	0.272847339510918	0	-0.27405834197998	0	-0.885799363255501	0	1.63392758369446	0	-2.15769934654236	0	0.272847339510918	0	0.5019012	-0.05338988	-0.5245064	-2.242811	-2.111081	-1.65132	-3.588577	-1.679862	-2.213966	-1.018861	-1.600014	-1.262818	-0.8503287	-1.391613	-1.589741	-0.9230968	-2.521241	-2.286155	-3.969749	0.165927	-7.869376	7.279075	2.962942	168.3015	170.4999	0	0	212.4971	168.0074	268.9091	162.2388	0	0	311.278	163.5952	239.0526	219.4148	0	0	15325920	935070.3125	1507166548746.88	2760	4019.69230769231	18530	123.931094311563	8.069	100	VALID						
Basketball Shoe  _V2	20171120	t111	15	MALE	Study w Survey	3 Calling all Creators	BlackInterslide	Shimmer Sensor Shimmer Sensor	20171005_012228832	20171004_182228832		688767	1263	808	1268	815	3.699493	3.73465	626.0539	626.5873	0.5364082	0.4738658	0.3869289	0.4816885	0	0																								98616195	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4171.282	4281.026	4194.872	4244.615	4149.744	4188.718	4213.333	4167.179	4181.538	4145.641	4167.179	4163.59	4235.385	4188.718	2056	2051	97	-1	0	1	118	99	232	232	-2.15769934654236	0	-1.58188962936401	0	-1.18803989887238	0	-0.870205760002136	0	-0.563862234354019	0	-1.99306789040565	0	0.272847339510918	0	-0.27405834197998	0	-0.885799363255501	0	1.63392758369446	0	-2.15769934654236	0	0.272847339510918	0	0.5019012	-0.05338988	-0.5245064	-2.242811	-2.111081	-1.65132	-3.588577	-1.679862	-2.213966	-1.018861	-1.600014	-1.262818	-0.8503287	-1.391613	-1.589741	-0.9230968	-2.521241	-2.286155	-3.969749	0.165927	-7.869376	7.279075	2.962942	168.3015	170.4999	0	0	212.4971	168.0074	268.9091	162.2388	0	0	311.278	163.5952	239.0526	219.4148	0	0	15326176	935078.125	1507166548754.69	2761	4021.14871794872	18531	123.848211631824	8.0744	100	VALID						
Basketball Shoe  _V2	20171120	t111	15	MALE	Study w Survey	3 Calling all Creators	BlackInterslide	Shimmer Sensor Shimmer Sensor	20171005_012228832	20171004_182228832		688767	1263	808	1268	815	3.699493	3.73465	626.0539	626.5873	0.5364082	0.4738658	0.3869289	0.4816885	0	0																								98616195	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4171.282	4281.026	4194.872	4244.615	4149.744	4188.718	4213.333	4167.179	4181.538	4145.641	4167.179	4163.59	4235.385	4188.718	2056	2051	97	-1	0	1	118	99	232	232	-2.15769934654236	0	-1.58188962936401	0	-1.18803989887238	0	-0.870205760002136	0	-0.563862234354019	0	-1.99306789040565	0	0.272847339510918	0	-0.27405834197998	0	-0.885799363255501	0	1.63392758369446	0	-2.15769934654236	0	0.272847339510918	0	0.5019012	-0.05338988	-0.5245064	-2.242811	-2.111081	-1.65132	-3.588577	-1.679862	-2.213966	-1.018861	-1.600014	-1.262818	-0.8503287	-1.391613	-1.589741	-0.9230968	-2.521241	-2.286155	-3.969749	0.165927	-7.869376	7.279075	2.962942	168.3015	170.4999	0	0	212.4971	168.0074	268.9091	162.2388	0	0	311.278	163.5952	239.0526	219.4148	0	0	15326432	935085.9375	1507166548762.5	2745	3997.84615384615	18531	123.848211631824	8.0744	100	VALID						
Basketball Shoe  _V2	20171120	t111	15	MALE	Study w Survey	3 Calling all Creators	BlackInterslide	ET	20171005_012228835	20171004_182228835		688784	1254	819	1270	822	3.683609	3.736176	626.1141	626.5842	0.5365613	0.4761816	0.3870619	0.4839473	0	0																								98616195	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4171.282	4281.026	4194.872	4244.615	4149.744	4188.718	4213.333	4167.179	4181.538	4145.641	4167.179	4163.59	4235.385	4188.718	2056	2051	97	-1	0	1	118	99	232	232	-2.15769934654236	0	-1.58188962936401	0	-1.18803989887238	0	-0.870205760002136	0	-0.563862234354019	0	-1.99306789040565	0	0.272847339510918	0	-0.27405834197998	0	-0.885799363255501	0	1.63392758369446	0	-2.15769934654236	0	0.272847339510918	0	0.5019012	-0.05338988	-0.5245064	-2.242811	-2.111081	-1.65132	-3.588577	-1.679862	-2.213966	-1.018861	-1.600014	-1.262818	-0.8503287	-1.391613	-1.589741	-0.9230968	-2.521241	-2.286155	-3.969749	0.165927	-7.869376	7.279075	2.962942	168.3015	170.4999	0	0	212.4971	168.0074	268.9091	162.2388	0	0	311.278	163.5952	239.0526	219.4148	0	0	15326432	935085.9375	1507166548762.5	2745	3997.84615384615	18531	123.848211631824	8.0744	100	VALID						
