#Study : ASU&adidas Session 1 - High
#Date : 20170917 21:33:01
#Version : 6.4.8223.4
#TestRunDate : 20170826 14:04:47.708 (-07:00)
#Tracker : Model-Tobii X2 @60Hz, Freq-60Hz, Screen Size(cms)-{Width=33.7, Height=27}, Screen Res-{Width=1920, Height=1200}, Distance(Resp)-70cm 

StudyName	ExportDate	Name	Age	Gender	StimuliBlock	StimulusName	SlideType	EventSource	Timestamp	MediaTime	PostMarker	Annotation	Timestamp RAW (no units) (Shimmer Sensor)	Timestamp CAL (mSecs) (Shimmer Sensor)	VSenseBatt RAW (no units) (Shimmer Sensor)	VSenseBatt CAL (mVolts) (Shimmer Sensor)	GSR RAW (no units) (Shimmer Sensor)	GSR CAL (kOhms) (Shimmer Sensor)	GSR CAL (µSiemens) (Shimmer Sensor)	Packet reception rate RAW (no units) (Shimmer Sensor)	GSR Quality (Shimmer Sensor)	LiveMarker	KeyStroke	MarkerText	SceneType	SceneOutput	SceneParent
ASU&adidas Session 1 - High	20170917	H521	18	MALE	study	Product Centered all	BlackInterslide	Shimmer Sensor Shimmer Sensor	20170826_140703622				13604899	1412109.375	2751	4006.58461538462	1150	55.8550004189125	17.9035	100	VALID						
ASU&adidas Session 1 - High	20170917	H521	18	MALE	study	Product Centered all	BlackInterslide	Shimmer Sensor Shimmer Sensor	20170826_140703622				13605155	1412117.1875	2735	3983.28205128205	1150	55.8550004189125	17.9035	100	VALID						
ASU&adidas Session 1 - High	20170917	H521	18	MALE	study	Product Centered all	BlackInterslide	Shimmer Sensor Shimmer Sensor	20170826_140703629				13605411	1412125	2745	3997.84615384615	1150	55.8550004189125	17.9035	100	VALID						
ASU&adidas Session 1 - High	20170917	H521	18	MALE	study	Product Centered all	BlackInterslide	Shimmer Sensor Shimmer Sensor	20170826_140703642				13605667	1412132.8125	2740	3990.5641025641	1150	55.8550004189125	17.9035	100	VALID						
ASU&adidas Session 1 - High	20170917	H521	18	MALE	study	Product Centered all	BlackInterslide	Shimmer Sensor Shimmer Sensor	20170826_140703646				13605923	1412140.625	2748	4002.21538461538	1150	55.8550004189125	17.9035	100	VALID						
ASU&adidas Session 1 - High	20170917	H521	18	MALE	study	Product Centered all	BlackInterslide	Shimmer Sensor Shimmer Sensor	20170826_140703662				13606179	1412148.4375	2735	3983.28205128205	1150	55.8550004189125	17.9035	100	VALID						
ASU&adidas Session 1 - High	20170917	H521	18	MALE	study	Product Centered all	BlackInterslide	Shimmer Sensor Shimmer Sensor	20170826_140703662				13606435	1412156.25	2750	4005.1282051282	1150	55.8550004189125	17.9035	100	VALID						
ASU&adidas Session 1 - High	20170917	H521	18	MALE	study	Product Centered all	BlackInterslide	Shimmer Sensor Shimmer Sensor	20170826_140703666				13606691	1412164.0625	2747	4000.75897435897	1150	55.8550004189125	17.9035	100	VALID						
ASU&adidas Session 1 - High	20170917	H521	18	MALE	study	Product Centered all	BlackInterslide	Shimmer Sensor Shimmer Sensor	20170826_140703688				13606947	1412171.875	2750	4005.1282051282	1150	55.8550004189125	17.9035	100	VALID						
ASU&adidas Session 1 - High	20170917	H521	18	MALE	study	Product Centered all	BlackInterslide	Shimmer Sensor Shimmer Sensor	20170826_140703688				13607203	1412179.6875	2737	3986.19487179487	1150	55.8550004189125	17.9035	100	VALID						
